index,category,lean_name,book_name,kind,location,official_lean_declaration,source_file,plain_english_statement_len,plain_english_proof_len,statement_excerpt,comment_excerpt
41,both_statement_and_proof,lemma_4_2_operator_norm_high_prob,Lemma 4.2,lemma,"Chapter 4, Section 4.2 (Multivariate regression, Sub-Gaussian matrix model)",lemma_4_2_operator_norm_high_prob,,290,1837,"**Lemma 4.2.** Let \( A \) be a \( d \times T \) random matrix such that \( A \sim \text{subG}_{d \times T}(\sigma^2) \). Then with probability at least \( 1 - \delta \),  \[ \|A\|_{\text{op}} \leq 4 \sigma \sqrt{\log(12)(d \vee T)} + 2 \si","*Lemma 4.2 (high-probability bound).** With probability at least $1 - \delta$, the operator norm of a sub-Gaussian matrix $A$ with proxy variance $\sigma^2$ satisfies $\|A\|_{op} \le 4\sigma \sqrt{\log(12)\cdot \max(d, T)} + 2\sigma \sqrt{2"
42,both_statement_and_proof,SingularValueThresholding.theorem_4_3,Theorem 4.3,theorem,Chapter 4,SingularValueThresholding.theorem_4_3,,697,2976,"**Theorem 4.3.** Consider the multivariate linear regression model (4.1) under the assumption ORT or, equivalently, the sub-Gaussian matrix model (4.2). Then, the singular value thresholding estimator \(\hat{\Theta}_{\mathrm{svt}}\) with th","*Theorem 4.3** (SVT MSE). Under the design orthogonality $X^\top X = nI$, the SVT estimator's prediction MSE equals the parameter MSE, and the latter is bounded by $144 \cdot \mathrm{rank}(\Theta^*) \cdot \tau^2$ on the event $\|F(\omega)\|"
43,both_statement_and_proof,Rigollet.Chapter4.Thm_4_4.theorem_4_4_with_probability,Theorem 4.4,theorem,Chapter 4,Rigollet.Chapter4.Thm_4_4.theorem_4_4_with_probability,,481,4380,"Theorem 4.4. Consider the multivariate linear regression model (4.1). Then, the estimator by rank penalization \(\hat{\Theta}_{\tau}^{\operatorname{rk}}\) with regularization parameter \(\tau^2\), where \(\Theta_{\tau}\) is defined in (4.3)","*Theorem 4.4** (rank penalization, high-probability form). Under the sub-Gaussian matrix model and a suitable choice of threshold $\tau$, the rank-penalized estimator's prediction MSE exceeds $8 \cdot \mathrm{rank}(\Theta^*) \cdot \tau^2$ w"
44,both_statement_and_proof,Rigollet.Chapter4.Thm_4_6.theorem_4_6,Theorem 4.6,theorem,Section 4.3,Rigollet.Chapter4.Thm_4_6.theorem_4_6,,403,720,"**Theorem 4.6.** Let \(X_1, \ldots, X_n\) be \(n\) i.i.d. sub-Gaussian random vectors such that \(\mathbb{E}[X X^\top] = \Sigma\) and \(X \sim \operatorname{subG}_d(k \Sigma_{\mathrm{op}})\). Then  \[ \| \hat{\Sigma} - \Sigma \|_{\mathrm{op","*Theorem 4.6 (empirical covariance operator norm).** There is a universal constant `C > 0` such that for `n` i.i.d. sub-Gaussian samples `X₁, …, Xₙ` with `E[X X^⊤] = Σ ≻ 0` and `X ~ subG_d(‖Σ‖_op)`, `‖Σ̂ - Σ‖_op ≤ C · ‖Σ‖_op · (√((d + log(1"
45,both_statement_and_proof,Thm48.theorem_4_8,Theorem 4.8 (Davis-Kahan $\sin(\theta)$ theorem),theorem,Section 4.4,Thm48.theorem_4_8,,444,2135,**Theorem 4.8 (Davis–Kahan sin(θ) theorem).** Let \(\Sigma\) satisfy the spiked covariance model and let \(\tilde{\Sigma}\) be any positive semidefinite estimator of \(\Sigma\). Let \(\tilde{v}\) denote the largest eigenvector of \(\tilde{\,"*Theorem 4.8** (Davis–Kahan $\sin\theta$). For the spiked covariance model, the leading eigenvector $\tilde v$ of any PSD estimator $\tilde\Sigma$ satisfies $\min_{\varepsilon=\pm 1} \|\varepsilon \tilde v - v\|^2 \le \frac{8}{\theta^2} \|\"
47,both_statement_and_proof,Rigollet.Chapter4.Thm_4_10.theorem_4_10_textbook,Theorem 4.10,theorem,Section 4.4,Rigollet.Chapter4.Thm_4_10.theorem_4_10_textbook,,804,2396,"**Theorem 4.10.** Let \( X_1, \ldots, X_n \) be \( n \) i.i.d. copies of a sub-Gaussian random vector \( X \in \mathbb{R}^d \) such that \(\mathbb{E}[XX^\top] = \Sigma\) and \( X \sim \mathrm{subG}_d(k \Sigma_{\mathrm{op}}) \). Assume furth",*Theorem 4.10 (textbook form).** The same sparse-PCA conclusion as `theorem_4_10` but stated with the textbook-style rate `sparsePCARate_textbook`. The constant `C` is rescaled to absorb the multiplicative factor between the two rates.
48,both_statement_and_proof,Chapter5.TVNP.neyman_pearson,Lemma 5.3 (Neyman-Pearson),lemma,Section 5.3,Chapter5.TVNP.neyman_pearson,,283,3410,"**Lemma 5.3 (Neyman–Pearson).** Let \(P_0\) and \(P_1\) be two probability measures. Then for any test \(\psi\), it holds that  \[ P_0(\psi = 1) + P_1(\psi = 0) \geq \min(p_0, p_1). \]  Moreover, equality holds for the likelihood ratio test","Bundled Neyman–Pearson lemma (Lemma 5.3): for every measurable test the total error is at least `1 - TV(P₀, P₁)`, and the likelihood-ratio test attains this optimal value."
49,both_statement_and_proof,Rigollet.Chapter5.prop_5_6_bundle,Proposition 5.6,proposition,Section 5.3,Rigollet.Chapter5.prop_5_6_bundle,,321,1420,"**Proposition 5.6.** Let \( P \) and \( Q \) be two probability measures. Then  1. \(\mathrm{KL}(P, Q) \geq 0\).  2. If \( P \) and \( Q \) are product measures, i.e.,  \[ P = \bigotimes_{i=1}^n P_i \quad \text{and} \quad Q = \bigotimes_{i=","Bundled Proposition 5.6: KL divergence is nonnegative (Gibbs), satisfies the real-valued Gibbs inequality, and tensorises across products (both binary and `n`-fold)."
50,both_statement_and_proof,Chapter5.TVNP.pinsker_inequality,Lemma 5.8 (Pinsker's inequality),lemma,Section 5.3,Chapter5.TVNP.pinsker_inequality,,171,1150,"**Lemma 5.8 (Pinsker’s inequality).** Let \(P\) and \(Q\) be two probability measures such that \(P \ll Q\). Then  \[ \mathrm{TV}(P, Q) \leq \sqrt{\mathrm{KL}(P \| Q)}. \]","Pinsker's inequality (Lemma 5.8 / 5.4 of Rigollet–Hütter): `TV(P, Q) ≤ √(KL(P ‖ Q))` whenever `P ≪ Q` and the KL is finite."
51,both_statement_and_proof,Minimax.theorem_5_9,Theorem 5.9,theorem,Section 5.3,Minimax.theorem_5_9,,382,2352,"**Theorem 5.9.** Assume that \(\Theta\) contains two hypotheses \(\theta_0\) and \(\theta_1\) such that \[ \|\theta_0 - \theta_1\|_2^2 = \frac{8 \alpha^2 \sigma^2}{n} \] for some \(\alpha \in (0, 1/2)\). Then \[ \inf_{\hat{\theta}} \sup_{\t","Theorem 5.9 (two-point method): if `Θ` contains `θ₀, θ₁` with `‖θ₀ - θ₁‖² = 8α²σ²/n`, then `inf_{θ̂} sup_{θ ∈ Θ} P_θ(‖θ̂ - θ‖² ≥ 2α²σ²/n) ≥ 1/2 - α`."
52,both_statement_and_proof,FanoInequality.fano_inequality,Theorem 5.10 (Fano's inequality),theorem,Section 5.4,FanoInequality.fano_inequality,,415,3131,"**Theorem 5.10 (Fano’s inequality).** Let \(P_1, \ldots, P_M\), with \(M \geq 2\), be probability distributions such that \(P_j \ll P_k\) for all \(j, k\). Then  \[ \inf_{\psi} \max_{1 \leq j \leq M} \mathbb{P}_{P_j}(\psi(X) \neq j) \geq 1 ","Fano's inequality (Theorem 5.10): for any measurable classifier `ψ : Ω → Fin M`, some hypothesis `P j` has error `P_j(ψ ≠ j) ≥ 1 - (M⁻² ∑_{j,k} KL(P_j ‖ P_k) + log 2) / log(M - 1)`."
53,both_statement_and_proof,MinimaxLowerBound.theorem_5_11,Theorem 5.11,theorem,Section 5.4,MinimaxLowerBound.theorem_5_11,,453,620,"**Theorem 5.11.** Assume that \(\Theta\) contains \(M \geq 5\) hypotheses \(\theta_1, \ldots, \theta_M\) such that for some constant \(0 < \alpha < \frac{1}{4}\), it holds:  1. \(\|\theta_j - \theta_k\|_2^2 \geq 4 \varphi\),  2. \(\|\theta_","Theorem 5.11 (many-hypotheses lower bound via Fano): if `Θ` contains `M ≥ 5` points pairwise separated by at least `4ϕ` and with pairwise KL divergences bounded by `2ασ²/n · log M`, then `inf_{θ̂ measurable} sup_{θ ∈ Θ} P_θ(‖θ̂ - θ‖² ≥ ϕ) ≥"
54,both_statement_and_proof,VarshamovGilbert.varshamov_gilbert,Lemma 5.12 (Varshamov-Gilbert),lemma,Section 5.4,VarshamovGilbert.varshamov_gilbert,,413,2544,"**Lemma 5.12 (Varshamov-Gilbert).** For any \(\gamma \in (0, 1/2)\), there exist binary vectors \(\omega_1, \ldots, \omega_M \in \{0,1\}^d\) such that  1. For all \(j \neq k\), \[ \rho(\omega_j, \omega_k) \geq \left(\frac{1}{2} - \gamma \ri","Varshamov–Gilbert lemma (Lemma 5.12): for `γ ∈ (0, 1/2)` and `d ≥ 1`, there exist `M ≥ exp(γ²d/2)` binary vectors `ω₁, …, ω_M ∈ {0, 1}^d` with pairwise Hamming distance at least `(1/2 - γ) d`."
56,both_statement_and_proof,SparseVarshamovGilbert.sparse_varshamov_gilbert,Lemma 5.14 (Sparse Varshamov-Gilbert),lemma,Section 5.5,SparseVarshamovGilbert.sparse_varshamov_gilbert,,569,4294,"**Lemma 5.14 (Sparse Varshamov-Gilbert).** There exist positive constants \(C_1\) and \(C_2\) such that the following holds for any two integers \(k\) and \(d\) with \(1 \leq k \leq d/8\). There exist binary vectors \(\omega_1, \ldots, \ome","*Lemma 5.14** (Sparse Varshamov-Gilbert): for `1 ≤ k ≤ d/8`, there exist binary vectors `ω_1, …, ω_M ∈ {0,1}^d` with pairwise Hamming distance at least `k/2`, weight exactly `k`, and `log M ≥ (k/8) log(1 + d/(2k))`."
58,both_statement_and_proof,MinimaxL1Ball.cor_5_16,Corollary 5.16,corollary,Chapter 5,MinimaxL1Ball.cor_5_16,,655,641,Corollary 5.16. Recall that \( B_1(R) \subset \mathbb{R}^d \) denotes the set of vectors \( \theta \in \mathbb{R}^d \) such that \(\|\theta\|_1 \leq R\). Then there exists a constant \( C > 0 \) such that if \( d \geq n^{1/2 + \varepsilon} ,"*Corollary 5.16** (`ℓ¹`-ball minimax rate): for the `ℓ¹`-ball `B₁(R) ⊂ ℝ^d` in the high-dimensional regime `d ≥ n^(1/2+ε)`, the minimax rate of estimation in the Gaussian sequence model is `φ(B₁(R)) = min(R², R σ log d / n)` (up to constant"
